rubro,provincia,anio,value
Combustibles y energía,Formosa,2005,22.832
Combustibles y energía,Misiones,2005,0
Total,Total País,2006,46546.203
Total,Buenos Aires,2006,17829.157
Total,Capital Federal,2006,327.125
Total,Córdoba,2006,4799.082
Total,Entre Ríos,2006,811.292
Total,La Pampa,2006,169.28
Total,Santa Fe,2006,8930.927
Total,Chubut,2006,2113.713
Total,Neuquén,2006,915.88
Total,Río Negro,2006,416.022
Total,Santa Cruz,2006,1123.124
Total,Tierra del Fuego,2006,505.605
Total,Catamarca,2006,1447.763
Total,Jujuy,2006,285.813
Total,La Rioja,2006,162.4
Total,Salta,2006,878.869
Total,Santiago del Estero,2006,159.183
Total,Tucumán,2006,652.756
Total,Mendoza,2006,1176.338
Total,San Juan,2006,675.001
Total,San Luis,2006,438.649
Total,Chaco,2006,192.202
Total,Corrientes,2006,134.592
Total,Formosa,2006,39.64
Total,Misiones,2006,420.964
Productos primarios,Total País,2006,8625.122
Productos primarios,Buenos Aires,2006,2088.056
Productos primarios,Capital Federal,2006,0
Productos primarios,Córdoba,2006,1286.791
Productos primarios,Entre Ríos,2006,449.329
Productos primarios,La Pampa,2006,116.589
Productos primarios,Santa Fe,2006,904.872
Productos primarios,Chubut,2006,285.257
Productos primarios,Neuquén,2006,40.081
Productos primarios,Río Negro,2006,244.231
Productos primarios,Santa Cruz,2006,348.51
Productos primarios,Tierra del Fuego,2006,54.073
Productos primarios,Catamarca,2006,1344.708
Productos primarios,Jujuy,2006,125.389
Productos primarios,La Rioja,2006,2.025
Productos primarios,Salta,2006,267.649
Productos primarios,Santiago del Estero,2006,138.412
Productos primarios,Tucumán,2006,220.57
Productos primarios,Mendoza,2006,186.287
Productos primarios,San Juan,2006,98.784
Productos primarios,San Luis,2006,19.697
Productos primarios,Chaco,2006,131.847
Productos primarios,Corrientes,2006,90.666
Productos primarios,Formosa,2006,6.46
Productos primarios,Misiones,2006,73.175
Manufacturas de origen agropecuario,Total País,2006,15265.192
Manufacturas de origen agropecuario,Buenos Aires,2006,3518.358
Manufacturas de origen agropecuario,Capital Federal,2006,104.925
Manufacturas de origen agropecuario,Córdoba,2006,2397.681
Manufacturas de origen agropecuario,Entre Ríos,2006,280.66
Manufacturas de origen agropecuario,La Pampa,2006,18.085
Manufacturas de origen agropecuario,Santa Fe,2006,6659.525
Manufacturas de origen agropecuario,Chubut,2006,210.532
Manufacturas de origen agropecuario,Neuquén,2006,40.645
Manufacturas de origen agropecuario,Río Negro,2006,56.327
Manufacturas de origen agropecuario,Santa Cruz,2006,50.609
Manufacturas de origen agropecuario,Tierra del Fuego,2006,51.327
Manufacturas de origen agropecuario,Catamarca,2006,23.272
Manufacturas de origen agropecuario,Jujuy,2006,112.832
Manufacturas de origen agropecuario,La Rioja,2006,97.131
Manufacturas de origen agropecuario,Salta,2006,92.186
Manufacturas de origen agropecuario,Santiago del Estero,2006,0.941
Manufacturas de origen agropecuario,Tucumán,2006,192.887
Manufacturas de origen agropecuario,Mendoza,2006,604.815
Manufacturas de origen agropecuario,San Juan,2006,133.177
Manufacturas de origen agropecuario,San Luis,2006,164.521
Manufacturas de origen agropecuario,Chaco,2006,52.654
Manufacturas de origen agropecuario,Corrientes,2006,33.885
Manufacturas de origen agropecuario,Formosa,2006,8.646
Manufacturas de origen agropecuario,Misiones,2006,215.82
Manufacturas de origen industrial,Total País,2006,14842.898
Manufacturas de origen industrial,Buenos Aires,2006,9368.77
Manufacturas de origen industrial,Capital Federal,2006,222.024
Manufacturas de origen industrial,Córdoba,2006,1113.489
Manufacturas de origen industrial,Entre Ríos,2006,81.263
Manufacturas de origen industrial,La Pampa,2006,12.229
Manufacturas de origen industrial,Santa Fe,2006,1096.611
Manufacturas de origen industrial,Chubut,2006,414.855
Manufacturas de origen industrial,Neuquén,2006,10.837
Manufacturas de origen industrial,Río Negro,2006,38.014
Manufacturas de origen industrial,Santa Cruz,2006,168.532
Manufacturas de origen industrial,Tierra del Fuego,2006,55.16
Manufacturas de origen industrial,Catamarca,2006,79.783
Manufacturas de origen industrial,Jujuy,2006,47.592
Manufacturas de origen industrial,La Rioja,2006,63.245
Manufacturas de origen industrial,Salta,2006,77.602
Manufacturas de origen industrial,Santiago del Estero,2006,19.831
Manufacturas de origen industrial,Tucumán,2006,235.643
Manufacturas de origen industrial,Mendoza,2006,138.1
Manufacturas de origen industrial,San Juan,2006,441.679
Manufacturas de origen industrial,San Luis,2006,254.431
Manufacturas de origen industrial,Chaco,2006,7.701
Manufacturas de origen industrial,Corrientes,2006,7.534
Manufacturas de origen industrial,Formosa,2006,2.638
Manufacturas de origen industrial,Misiones,2006,131.962
Combustibles y energía,Total País,2006,7812.991
Combustibles y energía,Buenos Aires,2006,2853.973
Combustibles y energía,Capital Federal,2006,0
Combustibles y energía,Córdoba,2006,1.121
Combustibles y energía,Entre Ríos,2006,0
Combustibles y energía,La Pampa,2006,22.377
Combustibles y energía,Santa Fe,2006,269.918
Combustibles y energía,Chubut,2006,1203.069
Combustibles y energía,Neuquén,2006,824.317
Combustibles y energía,Río Negro,2006,77.45
Combustibles y energía,Santa Cruz,2006,555.473
Combustibles y energía,Tierra del Fuego,2006,345.046
Combustibles y energía,Catamarca,2006,0
Combustibles y energía,Jujuy,2006,0
Combustibles y energía,La Rioja,2006,0
Combustibles y energía,Salta,2006,441.433
Combustibles y energía,Santiago del Estero,2006,0
Combustibles y energía,Tucumán,2006,3.657
Combustibles y energía,Mendoza,2006,247.136
Combustibles y energía,San Juan,2006,1.36
Combustibles y energía,San Luis,2006,0
Combustibles y energía,Chaco,2006,0
Combustibles y energía,Corrientes,2006,2.507
Combustibles y energía,Formosa,2006,21.895
Combustibles y energía,Misiones,2006,0
Total,Total País,2007,55980.309
Total,Buenos Aires,2007,20767.885
Total,Capital Federal,2007,360.79
Total,Córdoba,2007,6719.092
Total,Entre Ríos,2007,1240.521
Total,La Pampa,2007,225.502
Total,Santa Fe,2007,12567.216
Total,Chubut,2007,1652.066
Total,Neuquén,2007,685.237
Total,Río Negro,2007,482.094
Total,Santa Cruz,2007,798.032
Total,Tierra del Fuego,2007,456.132
Total,Catamarca,2007,1626.794
Total,Jujuy,2007,276.323
Total,La Rioja,2007,163.779
Total,Salta,2007,1047.023
Total,Santiago del Estero,2007,270.837
Total,Tucumán,2007,756.935
Total,Mendoza,2007,1346.897
Total,San Juan,2007,742.113
Total,San Luis,2007,506.945
Total,Chaco,2007,293.007
Total,Corrientes,2007,136.954
Total,Formosa,2007,30.554
Total,Misiones,2007,434.145
Productos primarios,Total País,2007,12485.028
Productos primarios,Buenos Aires,2007,3163.333
