provincia,anio,mes,empleados_registrados_miles
Buenos Aires,2020,ene-20,1901.638
Buenos Aires,2020,feb-20,1894.106
Buenos Aires,2020,mar-20,1874.68
Buenos Aires,2020,abr-20,1833.328
Buenos Aires,2020,may-20,1821.88
Buenos Aires,2020,jun-20,1820.722
Buenos Aires,2020,jul-20,1821.218
Buenos Aires,2020,ago-20,1821.944
Buenos Aires,2020,sep-20,1827.102
Buenos Aires,2020,oct-20,1834.317
Buenos Aires,2020,nov-20,1841.052
Buenos Aires,2020,dic-20,1846.859
Buenos Aires,2021,ene-21,1861.098
Buenos Aires,2021,feb-21,1863.583
Buenos Aires,2021,mar-21,1867.608
Buenos Aires,2021,abr-21,1862.689
Buenos Aires,2021,may-21,1853.32
Buenos Aires,2021,jun-21,1850.643
Buenos Aires,2021,jul-21,1849.784
Buenos Aires,2021,ago-21,1854.182
Buenos Aires,2021,sep-21,1863.574
Buenos Aires,2021,oct-21,1873.826
Capital Federal,2009,ene-09,1469.941
Capital Federal,2009,feb-09,1467.029
Capital Federal,2009,mar-09,1466.167
Capital Federal,2009,abr-09,1454.724
Capital Federal,2009,may-09,1451.374
Capital Federal,2009,jun-09,1450.695
Capital Federal,2009,jul-09,1449.348
Capital Federal,2009,ago-09,1448.628
Capital Federal,2009,sep-09,1452.493
Capital Federal,2009,oct-09,1456.96
Capital Federal,2009,nov-09,1460.733
Capital Federal,2009,dic-09,1467.644
Capital Federal,2010,ene-10,1460.384
Capital Federal,2010,feb-10,1463.02
Capital Federal,2010,mar-10,1473.082
Capital Federal,2010,abr-10,1468.761
Capital Federal,2010,may-10,1468.964
Capital Federal,2010,jun-10,1473.118
Capital Federal,2010,jul-10,1476.369
Capital Federal,2010,ago-10,1481.402
Capital Federal,2010,sep-10,1488.511
Capital Federal,2010,oct-10,1497.05
Capital Federal,2010,nov-10,1506.421
Capital Federal,2010,dic-10,1512.38
Capital Federal,2011,ene-11,1503.525
Capital Federal,2011,feb-11,1508.12
Capital Federal,2011,mar-11,1513.423
Capital Federal,2011,abr-11,1515.383
Capital Federal,2011,may-11,1519.64
Capital Federal,2011,jun-11,1518.97
Capital Federal,2011,jul-11,1524.781
Capital Federal,2011,ago-11,1531.388
Capital Federal,2011,sep-11,1532.169
Capital Federal,2011,oct-11,1535.621
Capital Federal,2011,nov-11,1543.905
Capital Federal,2011,dic-11,1546.032
Capital Federal,2012,ene-12,1534.103
Capital Federal,2012,feb-12,1532.406
Capital Federal,2012,mar-12,1537.417
Capital Federal,2012,abr-12,1527.298
Capital Federal,2012,may-12,1525.237
Capital Federal,2012,jun-12,1521.463
Capital Federal,2012,jul-12,1521.281
Capital Federal,2012,ago-12,1519.97
Capital Federal,2012,sep-12,1517.928
Capital Federal,2012,oct-12,1525.372
Capital Federal,2012,nov-12,1527.307
Capital Federal,2012,dic-12,1530.503
Capital Federal,2013,ene-13,1524.331
Capital Federal,2013,feb-13,1522.206
Capital Federal,2013,mar-13,1525.058
Capital Federal,2013,abr-13,1520.99
Capital Federal,2013,may-13,1516.106
Capital Federal,2013,jun-13,1513.471
Capital Federal,2013,jul-13,1517.973
Capital Federal,2013,ago-13,1516.665
Capital Federal,2013,sep-13,1516.173
Capital Federal,2013,oct-13,1522.686
Capital Federal,2013,nov-13,1524.897
Capital Federal,2013,dic-13,1526.684
Capital Federal,2014,ene-14,1520.216
Capital Federal,2014,feb-14,1518.13
Capital Federal,2014,mar-14,1518.245
Capital Federal,2014,abr-14,1513.177
Capital Federal,2014,may-14,1509.086
Capital Federal,2014,jun-14,1506.242
Capital Federal,2014,jul-14,1508.356
Capital Federal,2014,ago-14,1511.727
Capital Federal,2014,sep-14,1515.832
Capital Federal,2014,oct-14,1519.741
Capital Federal,2014,nov-14,1522.607
Capital Federal,2014,dic-14,1526.09
Capital Federal,2015,ene-15,1521.882
Capital Federal,2015,feb-15,1524.515
Capital Federal,2015,mar-15,1534.379
Capital Federal,2015,abr-15,1534.168
Capital Federal,2015,may-15,1530.232
Capital Federal,2015,jun-15,1534.158
Capital Federal,2015,jul-15,1537.961
Capital Federal,2015,ago-15,1537.879
Capital Federal,2015,sep-15,1539.514
Capital Federal,2015,oct-15,1544.973
Capital Federal,2015,nov-15,1545.494
Capital Federal,2015,dic-15,1543.674
Capital Federal,2016,ene-16,1536.964
Capital Federal,2016,feb-16,1541.959
Capital Federal,2016,mar-16,1548.814
Capital Federal,2016,abr-16,1539.723
Capital Federal,2016,may-16,1531.536
Capital Federal,2016,jun-16,1524.375
Capital Federal,2016,jul-16,1528.047
Capital Federal,2016,ago-16,1529.079
Capital Federal,2016,sep-16,1529.312
Capital Federal,2016,oct-16,1535.145
Capital Federal,2016,nov-16,1539.636
Capital Federal,2016,dic-16,1540.586
Capital Federal,2017,ene-17,1535.726
Capital Federal,2017,feb-17,1534.691
Capital Federal,2017,mar-17,1547.595
Capital Federal,2017,abr-17,1539.403
Capital Federal,2017,may-17,1538.549
Capital Federal,2017,Jun-17,1537.72
Capital Federal,2017,Jul-17,1543.029
Capital Federal,2017,ago-17,1547.234
Capital Federal,2017,sep-17,1545.67
Capital Federal,2017,oct-17,1553.044
Capital Federal,2017,nov-17,1558.776
Capital Federal,2017,dic-17,1561.716
Capital Federal,2018,ene-18,1555.938
Capital Federal,2018,feb-18,1555.615
Capital Federal,2018,mar-18,1563.947
Capital Federal,2018,abr-18,1552.767
Capital Federal,2018,may-18,1551.671
Capital Federal,2018,jun-18,1545.785
Capital Federal,2018,jul-18,1545.078
Capital Federal,2018,ago-18,1544.446
Capital Federal,2018,sep-18,1538.239
Capital Federal,2018,oct-18,1541.091
Capital Federal,2018,nov-18,1536.244
Capital Federal,2018,dic-18,1533.072
Capital Federal,2019,ene-19,1526.966
Capital Federal,2019,feb-19,1527.514
Capital Federal,2019,mar-19,1529.285
Capital Federal,2019,abr-19,1517.065
Capital Federal,2019,may-19,1517.268
Capital Federal,2019,jun-19,1509.576
Capital Federal,2019,jul-19,1511.732
Capital Federal,2019,ago-19,1511.506
Capital Federal,2019,sep-19,1502.516
Capital Federal,2019,oct-19,1501.543
Capital Federal,2019,nov-19,1490.132
Capital Federal,2019,dic-19,1486.494
Capital Federal,2020,ene-20,1478.379
Capital Federal,2020,feb-20,1479.284
Capital Federal,2020,mar-20,1474.056
Capital Federal,2020,abr-20,1433.502
Capital Federal,2020,may-20,1421.689
Capital Federal,2020,jun-20,1415.029
Capital Federal,2020,jul-20,1413.044
Capital Federal,2020,ago-20,1413.69
Capital Federal,2020,sep-20,1412.414
Capital Federal,2020,oct-20,1411.305
Capital Federal,2020,nov-20,1413.615
Capital Federal,2020,dic-20,1414.259
Capital Federal,2021,ene-21,1413.183
Capital Federal,2021,feb-21,1411.778
Capital Federal,2021,mar-21,1420.071
Capital Federal,2021,abr-21,1416.204
Capital Federal,2021,may-21,1411.917
Capital Federal,2021,jun-21,1411.61
Capital Federal,2021,jul-21,1415.783
Capital Federal,2021,ago-21,1420.134
Capital Federal,2021,sep-21,1423.378
Capital Federal,2021,oct-21,1434.038
Catamarca,2009,ene-09,29.789
Catamarca,2009,feb-09,30.504
Catamarca,2009,mar-09,31.819
Catamarca,2009,abr-09,31.261
Catamarca,2009,may-09,30.366
Catamarca,2009,jun-09,29.375
Catamarca,2009,jul-09,29.089
Catamarca,2009,ago-09,28.523
Catamarca,2009,sep-09,28.72
Catamarca,2009,oct-09,29.062
Catamarca,2009,nov-09,30.409
Catamarca,2009,dic-09,29.438
Catamarca,2010,ene-10,28.648
Catamarca,2010,feb-10,31.631
Catamarca,2010,mar-10,32.15
Catamarca,2010,abr-10,32.549
Catamarca,2010,may-10,32.403
Catamarca,2010,jun-10,31.741
Catamarca,2010,jul-10,30.567
Catamarca,2010,ago-10,29.481
Catamarca,2010,sep-10,29.42
Catamarca,2010,oct-10,29.338
Catamarca,2010,nov-10,30.712
Catamarca,2010,dic-10,30.009
Catamarca,2011,ene-11,29.402
Catamarca,2011,feb-11,32.058
Catamarca,2011,mar-11,33.439
Catamarca,2011,abr-11,33.168
Catamarca,2011,may-11,32.702
Catamarca,2011,jun-11,32.127
Catamarca,2011,jul-11,30.943
Catamarca,2011,ago-11,30.213
Catamarca,2011,sep-11,30.163
Catamarca,2011,oct-11,30.528
Catamarca,2011,nov-11,31.392
Catamarca,2011,dic-11,30.677
Catamarca,2012,ene-12,30.054
Catamarca,2012,feb-12,30.444
Catamarca,2012,mar-12,31.203
Catamarca,2012,abr-12,30.891
Catamarca,2012,may-12,30.533
Catamarca,2012,jun-12,30.147
Catamarca,2012,jul-12,29.956
Catamarca,2012,ago-12,30.131
Catamarca,2012,sep-12,30.306
Catamarca,2012,oct-12,30.77
Catamarca,2012,nov-12,31.528
Catamarca,2012,dic-12,30.803
Catamarca,2013,ene-13,30.531
Catamarca,2013,feb-13,31.661
Catamarca,2013,mar-13,32.203
Catamarca,2013,abr-13,32.566
Catamarca,2013,may-13,32.365
Catamarca,2013,jun-13,32.07
Catamarca,2013,jul-13,31.825
Catamarca,2013,ago-13,31.984
Catamarca,2013,sep-13,31.379
Catamarca,2013,oct-13,31.635
Catamarca,2013,nov-13,31.81
Catamarca,2013,dic-13,31.605
Catamarca,2014,ene-14,30.795
Catamarca,2014,feb-14,31.432
Catamarca,2014,mar-14,31.639
Catamarca,2014,abr-14,32.11
Catamarca,2014,may-14,32.316
Catamarca,2014,jun-14,32.062
Catamarca,2014,jul-14,31.939
Catamarca,2014,ago-14,31.593
Catamarca,2014,sep-14,31.246
Catamarca,2014,oct-14,31.97
Catamarca,2014,nov-14,32.534
Catamarca,2014,dic-14,31.893
Catamarca,2015,ene-15,31.597
Catamarca,2015,feb-15,32.868
Catamarca,2015,mar-15,33.235
Catamarca,2015,abr-15,33.419
Catamarca,2015,may-15,32.994
Catamarca,2015,jun-15,32.695
Catamarca,2015,jul-15,32.1
Catamarca,2015,ago-15,31.826
